appid,developer,publisher,platforms,categories,tags,price,ratings
630,Valve,Valve,windows,Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor,Free to Play;Co-op;Action,0.0,4.0
730,Valve;Hidden Path Entertainment,Valve,windows;mac;linux,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,FPS;Multiplayer;Shooter,0.0,3.0
1002,Mark Healey,Mark Healey,windows,Single-player;Multi-player,Indie;Fighting;Multiplayer,5.99,0.0
1200,Tripwire Interactive,Tripwire Interactive,windows;mac;linux,Multi-player;Steam Achievements;Valve Anti-Cheat enabled,World War II;Action;FPS,3.99,3.0
1250,Tripwire Interactive,Tripwire Interactive,windows;mac;linux,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor,FPS;Zombies;Co-op,14.99,4.0
1300,Ritual Entertainment,Ritual Entertainment,windows,Single-player;Stats,Action;FPS;Cyberpunk,7.19,3.0
1500,Introversion Software,Introversion Software,windows;mac;linux,Single-player,Strategy;Indie;RTS,7.19,1.0
1510,Introversion Software,Introversion Software,windows;mac;linux,Single-player,Hacking;Indie;Strategy,6.99,3.0
1520,Introversion Software,Introversion Software,windows;mac;linux,Single-player;Multi-player,Strategy;Indie;Multiplayer,7.19,2.0
1530,Introversion Software,Introversion Software,windows;mac,Single-player;Multi-player;Steam Achievements,Indie;RTS;Strategy,7.19,2.0
1600,Sonalysts,Strategy First,windows,Single-player;Multi-player,Strategy;Simulation;Naval,22.99,0.0
1610,Malfador Machinations,Strategy First,windows,Single-player;Multi-player,Strategy;4X;Sci-fi,6.99,1.0
1630,Strategy First,Strategy First,windows,Single-player;Multi-player;Co-op,Strategy;Turn-Based Strategy;Fantasy,4.99,1.0
1640,Strategy First,Strategy First,windows,Single-player;Multi-player;Co-op,Turn-Based Strategy;Strategy;Classic,4.99,1.0
1670,Strategy First,Strategy First,windows,Single-player;Multi-player,Simulation;Strategy;Tanks,3.99,0.0
1690,Malfador Machinations,Strategy First,windows,Single-player;Multi-player,Strategy;4X;Space,10.99,0.0
1700,Arkane Studios,Arkane Studios,windows,Single-player,RPG;First-Person;Classic,2.99,2.0
1840,Valve,Valve,windows,Steam Workshop,Animation & Modeling;Video Production;Free to Play,0.0,4.0
1900,Reality Pump Studios,Topware Interactive;ACE,windows;mac;linux,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards,Strategy;RTS;Sci-fi,3.99,0.0
1930,Reality Pump Studios,Topware Interactive,windows;mac;linux,Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support,RPG;Open World;Fantasy,6.99,0.0
2100,Arkane Studios,Ubisoft,windows,Single-player;Multi-player;Valve Anti-Cheat enabled,RPG;Action;First-Person,4.29,4.0
2200,id Software,id Software,windows,Single-player;Multi-player;Steam Cloud,FPS;Action;Classic,12.99,4.0
2210,RavenSoft / id Software,Bethesda Softworks,windows,Single-player;Multi-player;Steam Cloud,FPS;Action;Shooter,12.99,2.0
2270,id Software,Bethesda-Softworks,windows,Single-player;Steam Cloud,FPS;Classic;Action,2.99,4.0
2280,id Software,id Software,windows,Single-player;Steam Cloud,Classic;FPS;Action,3.99,4.0
2290,id Software,id Software,windows,Single-player;Steam Cloud,FPS;Action;Classic,3.99,2.0
2300,id Software,id Software,windows,Single-player;Multi-player;Steam Cloud,Classic;FPS;Action,3.99,4.0
2310,id Software,id Software,windows,Single-player;Multi-player;Co-op;Steam Cloud,FPS;Classic;Action,3.99,4.0
2320,id Software,id Software,windows,Single-player;Multi-player;Co-op;Steam Cloud,FPS;Action;Classic,3.99,4.0
2330,Xatrix Entertainment,id Software,windows,Single-player;Multi-player;Steam Cloud,Action;FPS;Classic,2.49,1.0
2340,Rogue Entertainment,id Software,windows,Single-player;Multi-player;Steam Cloud,Action;FPS;Shooter,2.49,0.0
2350,id Software,id Software,windows,Single-player;Multi-player;Steam Cloud,Action;FPS;Competitive,12.99,0.0
2360,Raven Software,id Software,windows,Single-player;Steam Cloud,Action;FPS;Classic,2.99,3.0
2370,Raven Software,id Software,windows,Single-player;Steam Cloud,Action;FPS;Classic,2.99,0.0
2390,Raven Software,id Software,windows,Single-player;Multi-player;Steam Cloud,Classic;Action;FPS,2.99,4.0
2400,Outerlight Ltd.,Blazing Griffin Ltd.,windows,Single-player;Multi-player;Steam Trading Cards;Valve Anti-Cheat enabled,Multiplayer;Indie;Action,0.0,2.0
2450,Outerlight Ltd.,Ubisoft,windows,Single-player;Multi-player;Steam Achievements,Action;Multiplayer;FPS,4.29,1.0
2500,Frozenbyte,Frozenbyte,windows;mac,Single-player;Shared/Split Screen;Steam Trading Cards,Action;Sci-fi;Top-Down Shooter,3.99,1.0
2520,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",windows,Single-player,Casual;Indie;Singleplayer,0.0,0.0
2590,Black Element,Bohemia Interactive,windows,Single-player,Action;FPS;Sci-fi,2.99,0.0
2600,Troika Games,Activision,windows,Single-player,RPG;Vampire;Cult Classic,14.99,4.0
2610,Neversoft,Activision,windows,Single-player,Western;Action;Open World,9.99,3.0
2620,Infinity Ward,Activision,windows,Single-player;Multi-player,FPS;World War II;Action,14.99,4.0
2630,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),windows;mac,Single-player;Multi-player,Action;World War II;FPS,14.99,4.0
2640,Gray Matter Studios,Activision,windows,Single-player;Multi-player,Action;World War II;FPS,14.99,2.0
2710,Eugen Systems,THQ Nordic,windows,Single-player;Multi-player,Action;Strategy;RTS,1.99,2.0
2720,Iocaine Studios,Atari,windows,Single-player;Multi-player;Includes level editor,Strategy;Action;Indie,3.99,0.0
2780,Bohemia Interactive,Bohemia Interactive,windows,Single-player;Multi-player;Includes level editor,Action;Simulation;Shooter,5.99,0.0
2800,Egosoft,Egosoft,windows,Single-player;Captions available;Steam Cloud,Space;Strategy;Simulation,4.99,1.0
2810,Egosoft,Egosoft,windows;mac;linux,Single-player;Captions available;Steam Cloud,Space;Simulation;Strategy,9.99,0.0
2820,Egosoft,Egosoft,windows;mac;linux,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud,Space;Simulation;Sci-fi,15.99,2.0
2840,Egosoft,Egosoft,windows,Single-player;Steam Cloud,Simulation;Space;Strategy,3.49,0.0
2850,Egosoft,Egosoft,windows,Single-player;Steam Cloud,Simulation;Strategy;Space,3.49,0.0
2870,Egosoft,Egosoft,windows;mac;linux,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud,Space;Simulation;Sci-fi,24.99,0.0
2900,Sonalysts,Strategy First,windows,Single-player;Multi-player,Strategy;Simulation;Naval,22.99,0.0
2910,Sonalysts,Strategy First,windows,Single-player,Strategy;Simulation;Naval,22.99,1.0
2920,Sonalysts,Strategy First,windows,Single-player;Multi-player;Co-op;Includes level editor,Strategy;Simulation;Naval,22.99,0.0
2990,Bugbear Entertainment,Strategy First,windows,Single-player,Racing;Destruction;Multiplayer,5.99,4.0
3010,Techland,Techland,windows,Single-player;Multi-player,Racing;Multiplayer,3.99,1.0
3020,Techland,Techland Publishing,windows,Single-player;Multi-player;Steam Trading Cards,Western;Action;FPS,8.59,1.0
3050,Techland,Techland,windows,Single-player;Multi-player,Racing;Offroad;Simulation,3.99,0.0
3130,1C Entertainment,1C Entertainment;1C-SoftClub,windows,Single-player;Steam Cloud,Strategy;World War II;RTS,3.99,1.0
3170,Katauri Interactive,1C Entertainment,windows;mac,Single-player;Steam Cloud,RPG;Turn-Based Strategy;Strategy,7.99,3.0
3230,Metamorf,THQ Nordic,windows,Single-player;Multi-player,Strategy;Space;Sci-fi,4.49,0.0
3260,Kheops Studio,HandyGames,windows,Single-player,Puzzle;Adventure;Casual,4.49,0.0
3270,Mindware Studios,THQ Nordic,windows,Single-player;Multi-player,Action;FPS;Shooter,4.49,1.0
3330,"PopCap Games, Inc.","PopCap Games, Inc.",windows;mac,Single-player,Casual;Match 3;Puzzle,4.25,3.0
3410,"PopCap Games, Inc.","PopCap Games, Inc.",windows,Single-player,Casual;Arcade;Action,4.25,0.0
3480,"PopCap Games, Inc.","PopCap Games, Inc.",windows;mac,Single-player,Casual;Puzzle;Arcade,4.25,4.0
3483,"PopCap Games, Inc.","PopCap Games, Inc.",windows,Single-player,Casual;Puzzle;Free to Play,0.0,4.0
3490,"Retro64, Inc.","PopCap Games, Inc.",windows,Single-player,Casual,4.25,0.0
3500,SpinTop Games,"PopCap Games, Inc.",windows,Single-player,Casual;Hidden Object,4.25,0.0
3510,SpinTop Games,"PopCap Games, Inc.",windows,Single-player,Casual;Hidden Object;Puzzle,4.25,0.0
3520,SpinTop Games,"PopCap Games, Inc.",windows,Single-player,Casual;Hidden Object,4.25,0.0
3530,SpinTop Games,"PopCap Games, Inc.",windows,Single-player,Casual;Hidden Object;Puzzle,4.25,0.0
3540,"PopCap Games, Inc.","PopCap Games, Inc.",windows;mac,Single-player,Casual;Puzzle;Singleplayer,4.25,4.0
3560,"PopCap Games, Inc.","PopCap Games, Inc.",windows,Single-player,Casual;Strategy;Match 3,4.25,1.0
3570,SpinTop Games,"PopCap Games, Inc.",windows,Single-player,Casual;Hidden Object,4.25,0.0
3580,"PopCap Games, Inc.","PopCap Games, Inc.",windows,Single-player,Casual;Hidden Object,4.25,0.0
3590,"PopCap Games, Inc.","PopCap Games, Inc.",windows;mac,Single-player;Steam Achievements,Tower Defense;Zombies;Strategy,4.25,4.0
3600,SpinTop Games,"PopCap Games, Inc.",windows;mac,Single-player,Casual;Hidden Object;Puzzle,4.25,0.0
3610,SpinTop Games,"PopCap Games, Inc.",windows,Single-player,Casual;Hidden Object,4.25,0.0
3620,"PopCap Games, Inc.","PopCap Games, Inc.",windows,Single-player;Steam Achievements;Stats,Casual;Action;Match 3,4.25,4.0
3700,Rebellion,Rebellion,windows,Single-player;Steam Trading Cards,Action;Sniper;Stealth,5.59,1.0
3710,Rebellion,Rebellion,windows,Single-player;Multi-player;Co-op,Action;FPS;First-Person,5.59,2.0
3720,Elixir Studios,Rebellion,windows,Single-player,Base-Building;Strategy;Villain Protagonist,6.99,4.0
3730,Rebellion,Rebellion,windows,Single-player;Multi-player,FPS;Action;Classic,3.99,2.0
3800,GlyphX Games,Majesco Entertainment,windows,Single-player;Steam Trading Cards,Action;Sci-fi;Story Rich,7.19,1.0
3810,Terminal Reality,Majesco Entertainment,windows,Single-player;Steam Trading Cards,Action;Vampire;Female Protagonist,6.99,1.0
3820,Terminal Reality,Majesco Entertainment,windows,Single-player;Steam Trading Cards,Action;Vampire;Female Protagonist,6.99,0.0
3830,Double Fine Productions,Double Fine Productions,windows;mac;linux,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Platformer;Comedy;Adventure,6.99,4.0
3900,Firaxis Games,2K,windows;mac,Single-player;Multi-player;Includes level editor,Strategy;Turn-Based Strategy;Turn-Based,9.99,4.0
3910,Firaxis Games,2K,windows,Single-player;Multi-player;Includes level editor,Strategy;Turn-Based Strategy;Turn-Based,2.99,2.0
3920,Firaxis Games,2K,windows,Single-player,Pirates;Open World;RPG,5.99,4.0
3960,PopTop,2K,windows,Single-player;Multi-player,Strategy;Turn-Based Strategy,2.99,0.0
3980,FireFly Studios;Firaxis Games,2K,windows,Single-player,Strategy;City Builder;Simulation,5.99,0.0
3990,Firaxis Games,2K,windows;mac,Single-player,Strategy;Turn-Based;4X,2.99,2.0
4000,Facepunch Studios,Valve,windows;mac;linux,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,Sandbox;Multiplayer;Funny,6.99,4.0
4100,Funkitron,Funkitron,windows,Single-player,Card Game,5.99,0.0
4230,SimBin,SimBin,windows,Single-player;Multi-player,Racing;Simulation,25.99,0.0
4290,SimBin,SimBin,windows,Single-player;Multi-player,Racing;Simulation,3.99,0.0
4300,Naked Sky Entertainment,Naked Sky Entertainment,windows,Single-player;Partial Controller Support;Includes level editor,Action;Indie;Puzzle,5.99,0.0
4420,Monte Cristo,Focus Home Interactive,windows,Single-player,RPG;Hack and Slash;Action RPG,7.99,0.0
4460,Monte Cristo,Focus Home Interactive,windows,Single-player,Simulation;Strategy;City Builder,6.99,0.0
4470,Monte Cristo,Focus Home Interactive,windows,Single-player;Multi-player,RPG;Hack and Slash;Action RPG,7.99,0.0
4500,GSC Game World,GSC Game World,windows,Single-player;Multi-player,Atmospheric;Post-apocalyptic;Open World,9.99,4.0
4520,Pandemic Studios,THQ Nordic,windows,Single-player;Multi-player;Co-op,Strategy;Action;Tactical,7.99,0.0
4530,Pandemic Studios,THQ Nordic,windows,Single-player;Multi-player;Co-op,Strategy;Action;Tactical,4.99,0.0
4560,Relic Entertainment,SEGA,windows,Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud,Strategy;RTS;World War II,0.0,4.0
4570,Relic Entertainment,SEGA,windows,Single-player;Multi-player;Steam Trading Cards;Steam Cloud,Strategy;Warhammer 40K;RTS,9.99,4.0
4580,Relic Entertainment,SEGA,windows,Single-player;Multi-player;Steam Cloud,Strategy;Warhammer 40K;RTS,9.99,4.0
4700,CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),windows;mac;linux,Single-player;Multi-player;Steam Trading Cards,Strategy;Medieval;Historical,0.0,4.0
4720,Monolith,SEGA,windows,Single-player,Horror;Action;Atmospheric,9.99,2.0
4760,CREATIVE ASSEMBLY,SEGA,windows,Single-player;Multi-player;Steam Trading Cards,Strategy;Historical;Rome,8.99,4.0
4770,The Creative Assembly,SEGA,windows,Single-player;Multi-player,Strategy;RTS;Historical,8.99,0.0
4780,The Creative Assembly;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),windows;mac;linux,Single-player;Multi-player,Strategy;Medieval;Historical,0.0,4.0
4800,GSC Game World,GSC Game World,windows,Single-player;Multi-player,Strategy;RTS;RPG,9.99,2.0
4850,GSC Game World,GSC World Publishing,windows,Single-player;Multi-player,Strategy;RTS;Classic,3.99,3.0
4870,GSC Game World,GSC World Publishing,windows,Single-player,Strategy;RTS;Historical,3.99,1.0
4880,GSC Game World,GSC World Publishing,windows,Single-player,Strategy;RTS;Historical,3.99,0.0
4890,GSC Game World,GSC World Publishing,windows,Single-player;Multi-player;Online Multi-Player;Local Multi-Player,Strategy;RTS;Historical,3.99,0.0
4900,Unknown Worlds Entertainment,Unknown Worlds Entertainment,windows,Single-player,Casual;Indie;Puzzle,0.0,2.0
4920,Unknown Worlds Entertainment,Unknown Worlds Entertainment,windows;linux,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,Multiplayer;Strategy;FPS,6.99,2.0
6000,LucasArts,LucasArts;Lucasfilm;Disney Interactive,windows,Single-player;Multi-player;Local Multi-Player;Steam Cloud,Star Wars;Action;FPS,7.19,4.0
6010,LucasArts,LucasArts;Lucasfilm;Disney Interactive,windows;mac,Single-player;Steam Cloud,Adventure;Point & Click;Classic,4.79,4.0
6020,Raven Software;Aspyr (Mac),LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive,windows;mac,Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud,Star Wars;Action;Sci-fi,7.19,4.0
6030,Raven Software;Aspyr (Mac),LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive,windows;mac,Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud,Star Wars;Action;Classic,7.19,3.0
6040,LucasArts,LucasArts,windows;mac,Single-player;Steam Cloud,Adventure;Point & Click;Sci-fi,4.79,3.0
6060,Pandemic Studios,Lucasfilm;LucasArts;Disney Interactive,windows,Single-player;Multi-player;Online Multi-Player;Partial Controller Support;Steam Cloud,Star Wars;Action;Multiplayer,7.19,4.0
6080,Frontier,LucasArts,windows,Single-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Partial Controller Support;Steam Cloud,Simulation;Strategy;Action,7.19,2.0
6090,Planet Moon Studios,LucasArts;Lucasfilm;Disney Interactive,windows,Single-player;Steam Cloud,Action;Comedy;Third-Person Shooter,4.79,2.0
6120,Klei Entertainment,Klei Entertainment,windows;mac;linux,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Action;Indie;Beat 'em up,7.19,3.0
6200,Sick Puppies,Strategy First,windows,Single-player,Strategy;Comedy;Puzzle,3.99,2.0
6210,Deepred,Strategy First,windows,Single-player,Strategy;Simulation;Management,3.99,0.0
6220,Bugbear Entertainment,Strategy First,windows,Single-player;Multi-player,Racing;Destruction;Driving,4.99,4.0
6250,Muzzy Lane,Strategy First,windows,Single-player;Multi-player,Strategy;Action;Grand Strategy,3.99,2.0
6270,Artematica Entertainment,Strategy First,windows,Single-player;Multi-player,Racing;Simulation,3.99,0.0
6300,Funcom,Funcom,windows,Single-player,Adventure;Female Protagonist;Story Rich,13.99,2.0
6310,Funcom,Funcom,windows,Single-player,Adventure;Point & Click;Female Protagonist,5.99,4.0
6370,Stunlock Studios,Stunlock Studios,windows,Single-player;Multi-player;MMO,Free to Play;Action;MOBA,0.0,2.0
6400,Most Wanted Entertainment,HD Publishing,windows,Single-player;Multi-player;Co-op;Shared/Split Screen,Strategy;Action;RTS,5.79,2.0
6420,Mithis Games;THQ Nordic,HandyGames,windows,Single-player;Multi-player;Includes level editor,Strategy;Space;Sci-fi,6.99,2.0
6510,"CAPCOM Co., Ltd.",Capcom,windows,Single-player;Multi-player;Partial Controller Support;Valve Anti-Cheat enabled,Action;Adventure;Third-Person Shooter,9.99,1.0
6550,"CAPCOM Co., Ltd.",Capcom,windows,Single-player;Partial Controller Support,Action;Hack and Slash;Great Soundtrack,15.99,0.0
6800,Pyro Studios,Kalypso Media Digital,windows,Single-player;Multi-player;Co-op,Strategy;Stealth;Action,3.99,3.0
6810,Pyro Studios,Kalypso Media Digital,windows,Single-player;Multi-player;Co-op,Action;Strategy;Tactical,3.99,2.0
6830,Pyro Studios,Kalypso Media Digital,windows,Single-player;Multi-player;Co-op,Strategy;Tactical;Stealth,3.99,2.0
6840,Pyro Studios,Kalypso Media Digital,windows,Single-player;Multi-player;Co-op,Strategy;Action;Tactical,3.99,0.0
6850,Io-Interactive A/S,Io-Interactive A/S,windows,Single-player,Stealth;Action;Third Person,8.29,2.0
6860,Io-Interactive A/S,Io-Interactive A/S,windows,Single-player,Stealth;Action;Third Person,9.29,4.0
6870,Eidos Interactive,Square Enix,windows,Single-player,Action;World War II;Naval,4.99,0.0
6880,Avalanche Studios,Square Enix,windows,Single-player,Action;Open World;Shooter,4.99,0.0
6900,IO Interactive A/S,IO Interactive A/S,windows,Single-player,Stealth;Action;Classic,7.19,0.0
6910,Ion Storm,Square Enix,windows,Single-player;Multi-player,Cyberpunk;RPG;Stealth,4.99,4.0
6920,Ion Storm,Square Enix,windows,Single-player,Cyberpunk;Action;FPS,4.99,0.0
6980,Ion Storm,Square Enix,windows,Single-player,Stealth;Atmospheric;Action,6.99,2.0
7000,Crystal Dynamics,Square Enix,windows,Single-player;Partial Controller Support,Adventure;Action;Female Protagonist,4.99,3.0
7010,Crystal Dynamics,Square Enix,windows,Single-player;Multi-player,Action;FPS;Cyberpunk,3.99,0.0
7020,Rebellion,Rebellion,windows,Single-player;Multi-player;Co-op,Action;Third-Person Shooter;Sci-fi,6.99,4.0
7110,BioWare Corporation,BioWare Corporation;Electronic Arts,windows,Single-player;Partial Controller Support,RPG;Fantasy;Story Rich,8.99,1.0
7200,Nadeo,Ubisoft,windows,Single-player;Multi-player;Includes level editor,Racing;Multiplayer;Level Editor,25.99,4.0
7210,Pendulo Studios,Focus Home Interactive,windows,Single-player,Adventure;Point & Click;Mystery,6.99,0.0
7220,Pendulo Studios,Focus Home Interactive,windows,Single-player,Adventure;Point & Click;Mystery,6.99,0.0
7260,Cyanide Studios,Focus Home Interactive,windows,Single-player;Multi-player,RPG;Hack and Slash;Action,6.99,0.0
7340,Big Fish Games,Big Fish Games,windows,Single-player,Casual;Indie;Puzzle,6.99,0.0
7510,Gaijin Entertainment,Topware Interactive,windows;mac;linux,Single-player;Steam Trading Cards;Partial Controller Support,Action;Hack and Slash;Female Protagonist,6.99,0.0
7520,Reality Pump Studios,"Topware Interactive, ACE",windows;mac,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud,RPG;Open World;Fantasy,14.99,0.0
7530,Reality Pump Studios,Topware Interactive,windows;mac,Single-player;Steam Trading Cards;Steam Cloud,Strategy;Tower Defense;Fantasy,6.99,0.0
7600,Firaxis Games;Feral Interactive (Mac),2K;Feral Interactive (Mac),windows;mac,Single-player;Multi-player,Strategy;Trains;Management,5.99,0.0
7610,PopTop,2K,windows,Single-player;Multi-player,Strategy;Management;Trains,5.99,0.0
7620,PopTop,2K,windows,Single-player,Strategy;Management;Trains,2.99,2.0
7650,"MicroProse Software, Inc",2K,windows,Single-player,Strategy;Turn-Based;Sci-fi,2.99,3.0
7660,"MicroProse Software, Inc",2K,windows,Single-player,Strategy;Turn-Based;Tactical,2.99,3.0
7730,"MicroProse Software, Inc",2K,windows,Single-player;Multi-player,Strategy;Sci-fi;Space,2.99,0.0
7760,"MicroProse Software, Inc",2K,windows,Single-player,Strategy;Classic;Turn-Based Strategy,2.99,4.0
7770,"MicroProse Software, Inc",2K,windows,Single-player;Multi-player,Strategy;Action;Shooter,2.99,0.0
7830,Best Way,1C Entertainment;1C-SoftClub,windows,Single-player;Multi-player;Steam Cloud;Includes level editor,Strategy;World War II;RTS,3.99,2.0
7840,Sky Fallen,1C Entertainment,windows,Single-player;Steam Cloud,Racing;Action;Shooter,1.99,0.0
7860,The Farm 51,1C Entertainment,windows,Single-player;Multi-player;Steam Cloud,Action;FPS;World War I,3.99,0.0
7940,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),windows;mac,Single-player;Multi-player,FPS;Action;Multiplayer,19.99,4.0
8000,Crystal Dynamics;Feral Interactive (Mac),Square Enix;Feral Interactive (Mac),windows,Single-player;Partial Controller Support,Action;Adventure;Female Protagonist,6.99,2.0
8080,IO Interactive,Square Enix,windows,Single-player;Multi-player;Shared/Split Screen;Partial Controller Support,Action;Third-Person Shooter;Crime,4.99,0.0
8100,Pivotal Games,Square Enix,windows,Single-player,Action;FPS;Singleplayer,3.99,0.0
8140,Crystal Dynamics,Square Enix,windows,Single-player,Adventure;Action;Female Protagonist,6.99,1.0
8170,Eidos Studio Hungary,Square Enix,windows,Single-player;Multi-player;Partial Controller Support,World War II;Strategy;Action,6.99,0.0
8190,Avalanche Studios,Square Enix,windows,Single-player;Steam Achievements;Full controller support;Steam Cloud,Open World;Action;Sandbox,9.99,4.0
8310,Telltale Games,Telltale Games,windows,Single-player,Adventure;Point & Click,0.0,0.0
8320,Telltale Games,Telltale Games,windows,Single-player,Adventure;Point & Click,0.0,0.0
8330,Telltale Games,Telltale Games,windows,Single-player,Casual;Card Game,1.99,0.0
